Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
560	1.58306819069586		2.61691502616442		0.989119052886963	1.58004135808733	2.58716619653762	0.610722790133037	9.68273536515041E-4	99.7772951349751
557	1.62557424094105		2.68617714502828		0.989939033985138	1.62254740833252	2.657876236025	0.610467630636983	0.00101017469436364	99.7676689879924
554	1.6687682233124		2.75616958615486		0.990792453289032	1.66574139070387	2.72951555442069	0.610269975566198	9.92428997370452E-4	99.7717456757445
551	1.71437521775907		2.83032066496013		0.991612553596497	1.71134838515054	2.80530397398871	0.610040266943789	0.00104609927578431	99.7594166070313
548	1.76174499051901		2.90675849180314		0.992179334163666	1.75871815791048	2.88274744667985	0.610084022426611	0.00107409579383267	99.7529858868539
545	1.81156485054943		2.98682861599491		0.992285013198853	1.8085380179409	2.96250687820336	0.610475550705795	0.0011090245377295	99.7449634354224
542	1.85914012562788		3.06305292965518		0.992105305194855	1.85611329301936	3.0375928986856	0.611047416466675	0.00116709911355511	99.7316262658296
539	1.90881860016082		3.14248784877136		0.992104291915894	1.9057917675523	3.11639752044712	0.61153680011877	0.00119488279684291	99.7252462094353
536	1.96605365913623		3.23376366383633		0.992585122585297	1.9630268265277	3.2085069215979	0.611819414604869	0.00122589587506012	99.7181250587781
533	2.03185647137329		3.33856308480429		0.993484437465668	2.02882963876476	3.31553052854961	0.61191704353037	0.00127132858305454	99.707693824483
530	2.1001534858709		3.44699023280854		0.994387984275818	2.09712665326237	3.42636456565008	0.612055901548375	0.001305231795816	99.699910443952
527	2.17311737901196		3.56256728556937		0.994879484176636	2.17009054640344	3.54304336642499	0.612493362900355	0.00136114935717249	99.687074414013
524	2.24694600298454		3.67869756586706		0.994913220405579	2.24391917037601	3.6587030617046	0.613309998797924	0.00140431356590995	99.677167081447
521	2.32301261034661		3.79805731392527		0.994610488414764	2.31998577773808	3.77630624960003	0.614353186525538	0.00145503660811392	99.6655260541639
518	2.40301547257576		3.92342067035794		0.993982315063477	2.39998863996723	3.89853017975686	0.615613713196113	0.00149852053600368	99.6555474986639
515	2.48326814193282		4.04829810394099		0.992034494876862	2.48024130932429	4.01477329296345	0.617778671007731	0.00154697937706186	99.6444284927222
512	2.56572529614435		4.1756457084126		0.990093111991882	2.56269846353583	4.1330024834766	0.620057324857965	0.00162020186853978	99.627629756887
509	2.65123051186714		4.30805506823508		0.989466428756714	2.64820367925862	4.26140110008992	0.621439666686795	0.0017500217790891	99.5978533778575
506	2.75764027218414		4.4721357121107		0.990362167358398	2.75461343957561	4.42775809939251	0.622123742476706	0.00179632916833614	99.5872341531654
503	2.86723121901186		4.63982021339379		0.991448402404785	2.86420438640333	4.59886502140691	0.622806795387768	0.00183283353399296	99.5788637589245
500	2.99015692164567		4.82792255395076		0.99275416135788	2.98713008903715	4.79166120728684	0.623401772332009	0.00184263359518356	99.5766167399355
497	3.20945423522253		5.17068094857726		0.994325041770935	3.206427402614	5.1400565274984	0.623811700408387	0.0018655146626302	99.5713706238558
494	3.52238269100338		5.65925205502346		0.996181428432465	3.51935585839485	5.63635838170686	0.624402427960779	0.00193829783327792	99.5546849114528
491	3.64318537362614		5.83680225450932		0.998144626617432	3.64015854101762	5.8246868633864	0.624953517055039	0.00200992484134091	99.5382669818769
488	3.71720854959989		5.94049997138012		0.999891102313995	3.71418171699137	5.93856487105506	0.625434224873845	0.0020628820508728	99.5261301767632
485	4.05943765956054		6.46855820169198		1.00117957592011	4.05641082695201	6.47489850357577	0.626482534778244	0.00215976442474332	99.503930372873
482	4.34551500949165		6.90181457203108		1.00216424465179	4.34248817688312	6.91546066511543	0.627939104445855	0.00225944757450684	99.4810939626479
479	4.39674520459944		6.96251073389793		1.00316166877747	4.39371837199092	6.98323147949188	0.629181258690084	0.00237779686729929	99.4539881311065
476	4.87070278327201		7.69667869971434		1.0043808221817	4.86767595066348	7.72910250260461	0.629785405100157	0.00248500380359023	99.4294406364256
473	5.86274476661269		9.24815417691339		1.00593769550323	5.85971793400416	9.30177091672729	0.629957240020466	0.00253767175467122	99.4173833167725
